zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag,Publisher,twitch_id
NPFFVT8E,,,2022-03-09,tvBroadcast,L'interview Apolline Matin : Pécresse,"Pécresse, Valérie",L'interview Apolline Matin,,#Pécresse2022|#Apollinematin|#RMC|#BFMTV|,RMC/BFMTV,
5NIK2BWG,,,2022-03-17,tvBroadcast,L'interview Apolline Matin : Jadot,"Jadot, Yannick",L'interview Apolline Matin,,#ApollineMatin|#Jadot2022|#FaireFace,RMC/BFMTV,
KBD8S87C,,,2022-02-12,radioBroadcast,L'invité de 7h50 : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'invité de 7h50,,#LaMatinale|#FranceInter|#2022NDA|#Présidentielle2022,France Inter,
6BXTETBD,,,2022-02-28,radioBroadcast,L'invité de 7h50 : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'invité de 7h50,,#le79inter|#DupontAignan,France Inter,
K2A2YAXX,,,2022-03-10,radioBroadcast,L'invité de 7h50 : Hidalgo,"Hidalgo, Anne",L'invité de 7h50,,#Le79inter|#Hidalgo2022,France Inter,
Y8SV3BXR,,,2022-03-12,radioBroadcast,L'invité de 7h50 : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'invité de 7h50,,,France Inter,
BX2563EH,,,2022-03-19,radioBroadcast,L'invité de 7h50 : Poutou,"Poutou, Philippe",L'invité de 7h50,,#Le69Inter|#Elysee2022|#Poutou,France Inter,
ANPGPKN4,,,2022-03-20,radioBroadcast,L'invité de 7h50 : Lassalle,"Lassalle, Jean",L'invité de 7h50,,#le69inter|#JeanLassalle2022|#LaFranceAuthentique,France Inter,
HHXMSG8P,,,2022-03-21,radioBroadcast,L'invité de 7h50 : Roussel,"Roussel, Fabien",L'invité de 7h50,,#le79Inter|#Roussel2022,France Inter,
7C6H3IH7,,,2022-03-24,radioBroadcast,L'invité de 7h50 : Arthaud,"Arthaud, Nathalie",L'invité de 7h50,,"#Arthaud2022,|#le79Inter",France Inter,
7JDYAKP2,,,2022-03-16,radioBroadcast,L'invité de 8h20 : Pécresse,"Pécresse, Valérie",L'invité de 8h20,,#79Inter|#Pécresse2022,France Inter,
P3SKQDHY,,,2022-03-18,radioBroadcast,L'invité de 8h20 : Le Pen,"Le Pen, Marine",L'invité de 8h20,,#79inter|#Mlafrance|#MarinePresidente|#Lepen,France Inter,
P4DV6UZM,,,2022-03-22,radioBroadcast,L'invité de 8h20 : Jadot,"Jadot, Yannick",L'invité de 8h20,,#le79Inter|#Jadot2022|#FaireFace,France Inter,
2AAY4ZF9,,,2022-03-28,radioBroadcast,L'invité de 8h20 : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'invité de 8h20,,#le79Inter|#2022NDA|#ChoisirLaLiberté,France Inter,
VDLTAI3P,,,2022-03-29,radioBroadcast,L'invité de 8h20 : Hidalgo,"Hidalgo, Anne",L'invité de 8h20,,#Le79Inter|#Hidalgo2022,France Inter,
LQFQ2CER,,,2022-03-30,radioBroadcast,L'invité de 8h20 : Mélenchon,"Mélenchon, Jean-Luc",L'invité de 8h20,,#Le79Inter|#UnionPopulaire|#Mélenchon2022,France Inter,
5KYAU27N,,,2022-03-31,radioBroadcast,L'invité de 8h20 : Roussel,"Roussel, Fabien",L'invité de 8h20,,#Le79Inter|#Roussel2022|#LesJoursHeureux,France Inter,
NYP84GXF,,,2022-04-01,radioBroadcast,L'invité de 8h20 : Arthaud,"Arthaud, Nathalie",L'invité de 8h20,,#Le79Inter|#Arthaud|#Arthaud2022,France Inter,
WK8KU4G6,,,2022-04-02,radioBroadcast,L'invité de 8h20 : Lassalle,"Lassalle, Jean",L'invité de 8h20,,#Le69Inter|#JeanLassalle2022|#LaFranceAuthentique|#TourBusJL2022|,France Inter,
AQRUE49H,,,2022-04-03,radioBroadcast,L'invité de 8h20 : Poutou,"Poutou, Philippe",L'invité de 8h20,,#Le79Inter|#Poutou|#Poutou2022,France Inter,
UE35UUGY,,,2022-04-04,radioBroadcast,L'invité de 8h20 : Macron,"Macron, Emmanuel",L'invité de 8h20,,#Le79Inter|#MacronFranceInter|#AvecVous|,France Inter,
XHFWUCFY,,,2022-04-05,radioBroadcast,L'invité de 8h20 : Le Pen,"Le Pen, Marine",L'invité de 8h20,,#Le79Inter|#MLaFrance|#MarinePresidente|#MLP2022,France Inter,
UUK8NSFG,,,2022-04-06,radioBroadcast,L'invité de 8h20 : Zemmour,"Zemmour, Eric",L'invité de 8h20,,#Le79Inter|#ZoZZ|#ZemmourPresident|#Zemmour2022|#JeVoteZemmourDimanche,France Inter,
HF6Z9C3C,,,2022-04-07,radioBroadcast,L'invité de 8h20 : Jadot,"Jadot, Yannick",L'invité de 8h20,,#Le79Inter|#FaireFace|#Jadot2022|#JeVoteJadot,France Inter,
CH9GAT3F,,,2022-04-08,radioBroadcast,L'invité de 8h20 : Pécresse,"Pécresse, Valérie",L'invité de 8h20,,#Le79Inter|#Pécresse2022|#Pécresse|#JeVotePécresse,France Inter,
YKG9CM4L,,,2022-03-28,tvBroadcast,"Le Grand Oral de la présidentielle (18h) : (multiple) Le Pen, Zemmour, Jadot, Roussel, Hidalgo, Pécresse","Le Pen, Marine; Zemmour, Eric; Jadot, Yannick; Roussel, Fabien; Hidalgo, Anne; Pécresse, Valérie",Le Grand Oral de la présidentielle (18h),,#Europe1|#LeJDD|#ParisMatch|#Hidalgo2022|#Jadot2022|#FaireFace|#MarinePrésidente|#ZemmourPresident|#MlaFrance|#Roussel2022|#Pécresse2022|#Zemmour2022|#LeGrandOral,Europe 1 / Le JDD / Paris Match,
AP3R24G5,,,2022-02-20,tvBroadcast,Le Grand RDV : Zemmour,"Zemmour, Eric",Le Grand RDV,,#Europe1 #LeGrandRDV #LeGrandrendezvous #cnews #Zemmour #ZoZZ #EricZemmour #Zemmour2emeTour,Europe 1/Cnews,
7CKKZMZH,,,2022-03-13,tvBroadcast,Le Grand RDV : Pécresse,"Pécresse, Valérie",Le Grand RDV,,#Pécresse2022 #LeGrandRDV,Europe 1/Cnews,
AD4XFH7E,,,2022-04-12,tvBroadcast,Le JT de 20h : Le Pen,"Le Pen, Marine",Le JT de 20h,,#JT20h #MLaFrance|#MarinePresidente|#MLP2022,TF1,
